id,tenant_id,unit_uid,reading_def_uid,started_on,ended_on,index,is_array,is_unit_on,value,duration_milliseconds,remote_id,purge,sync,instance_id,remove
3a1eb559-af9e-3f14-bba7-7ded076f9cfe,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-01-09 14:32:32.553+00,,0,t,f, DOOR INTERLOCK ALARM.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1ec2b4-f370-47d4-15ab-6553d9a44918,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-01-12 04:47:11.832+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1ec2b4-f37d-23f7-62c0-8c40e4e741a5,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-01-12 04:47:11.832+00,,1,t,f," AIR PRESSURE FAILED!
",,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1ec2c0-2a81-fae9-660e-472a532de59f,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-01-12 04:59:26.607+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1eebed-1c1c-7e62-9e53-1a2269c349f8,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-01-20 04:52:40.105+00,,0,t,f, LUBE OIL LAST.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1ef112-4e93-5d69-863e-ef2af94c89ed,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-01-21 04:51:21.701+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1ef320-43ce-540d-c272-8b67cd06a2e3,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-01-21 14:25:50.234+00,,0,t,f, MOTOR OVERLOAD!,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1ef332-fc0d-ea57-c1a0-17026a2bb095,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-01-21 14:46:16.821+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1efb84-495a-de9e-d330-d22fa1d639bd,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-01-23 05:31:59.271+00,,0,t,f, CHUCK UNCLAMP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1efce8-3220-a453-2444-1f3fe7ea9b4a,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-01-23 12:00:43.448+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f0ff0-0f90-a70b-f085-5821d853e1f2,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-01-27 04:43:08.398+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f0ff0-0fb4-fc7c-6842-582f81bba28e,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-01-27 04:43:08.398+00,,1,t,f," AIR PRESSURE FAILED!
",,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f0ffc-269a-eefd-9a54-edc5cbe63bee,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-01-27 04:56:20.862+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f1526-034c-13a5-155e-555cf0fd6232,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-01-28 05:00:07.656+00,,0,t,f," AIR PRESSURE FAILED!
",,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f1a39-aa2c-d2c7-3b1d-66f45bb95553,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-01-29 04:39:39.711+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f39eb-9230-a1a9-7ba5-4cee71f589b5,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-04 08:21:58.812+00,,0,t,f, CHUCK UNCLAMP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f3e54-b8d1-197c-69e1-bf98f1ad16f8,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-05 04:55:16.815+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f3e6f-6fb7-3d35-3e08-b1603b7260c4,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-05 05:24:27.542+00,,0,t,f,ILLEGAL S CODE COMMAND,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f3e71-1e6a-25c1-ec33-484c1ea412d7,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-05 05:26:17.984+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f865f-ae5e-bfca-0613-371e59b674ee,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-02-19 04:40:13.563+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f865f-ae96-90b1-3e58-a4e55db81141,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-02-19 04:40:13.563+00,,1,t,f," AIR PRESSURE FAILED!
",,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f866a-9751-5b8f-3649-1ac83172157b,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-19 04:52:08.304+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f8675-a423-1ccc-d102-a8e699a26e64,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-19 05:04:12.7+00,,0,t,f, CHUCK UNCLAMP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f86e7-e12f-f3ae-02cb-7d436ac680d5,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-19 07:08:59.256+00,,0,t,f,"(Z)+ OVERTRAVEL ( PRE-CHECK )
",,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f8703-0002-3add-0340-fcba9c4912cb,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-19 07:38:36.649+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f871a-f3f5-965f-c35c-e14aebb50cfc,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-19 08:04:46.429+00,,0,t,f, CHUCK NOT OPEN WHEN SP RUN.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f8b90-0648-bfc3-d09c-80c1b605713b,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-20 04:51:05.483+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f8c05-efba-b069-ba68-6222e4a50366,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-20 06:59:52.778+00,,0,t,f,MANUAL REFERENCE POSITION RETURN IS NOT PERFORMED IN FEED HOLD,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f9b02-ea5e-068b-79d9-0e5b2c2b206d,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-23 04:50:46.713+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f9bf2-aa81-d01d-4f56-3ddff8b1eda0,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-02-23 09:12:38.715+00,,0,t,f,(Y)+ OVERTRAVEL ( SOFT 1 ),,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f9c77-1a57-6b11-e913-bd85e87eee87,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-23 11:37:17.737+00,,0,t,f,ILLEGAL EXPRESSION FORMAT˜,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fa01c-648a-d36f-6f1d-fa739b363534,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-02-24 04:36:40.405+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fa1e4-b317-1a04-42a8-6ab221b9ff81,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-02-24 12:55:04.136+00,,0,t,f,(X)- OVERTRAVEL ( SOFT 1 ),,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fa547-2ab6-4587-8d89-16fff49abe07,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-02-25 04:41:27.391+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fa63c-7bf1-f919-bb18-e845de2333fb,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-25 09:09:24.238+00,,0,t,f, CHUCK UNCLAMP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1faa7f-8ad5-0356-70b5-c39d6a464be7,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-26 05:01:05.635+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fabd3-7745-5ba6-5816-69da1b954432,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-26 11:12:22.596+00,,0,t,f, CHUCK UNCLAMP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1faf9c-bbdf-effd-df9c-783c20678436,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-27 04:51:02.592+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
